file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0031_0026_183515_to_189244,མ་རེད་ད་ཟླ་བ་གཅིག་ནང་དཀའ་ལས་བརྒྱབ་མྱི་གི་གྲུབ་འབྲས་འདི་ག་ཙི་ཡིན་འགྲོ་འདྲ་བོ་ད་སོ་སོ་གིས་བསམ་བློ་དེ་འདྲས་འདྲ་བོ་ཅིག་བཏང་ནས་བསྡད་བསྡད་ཡོད་བ་ད་ ,ma red da zla ba gcig nang dka' las brgyab myi gi grub 'bras 'di ga tsi yin 'gro 'dra bo da so so gis bsam blo de 'dras 'dra bo cig btang nas bsdad bsdad yod ba da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0026_183515_to_189244.wav,STT_NS,3,141,5.729,wav16k/STT_NS0031_0026_183515_to_189244.wav,མ་རེད་ད་ཟླ་བ་གཅིག་ནང་དཀའ་ལས་བརྒྱབ་ནས་གྲུབ་འབྲས་དེ་ག་ཙི་ཡིན་འགྲོ་འདྲ་བོ།་ད་སོ་སོ་གིས་བསམ་བློ་དེ་འདྲའི་འདྲ་བོ་ཅིག་བཏང་ནས་བསྡད་བསྡད་ཡོད་བ་ད།
STT_NS0031_0027_189582_to_199319,ཨེ་འདྲའི་འདྲ་བོ་རེད་འདུག་ད། དྲང་པོ་བཤད་ན་སྤྱིར་བཏང་ད་ག་རེ་ལབ་དགོས་རེད་ང་ཚོས་ཡི་གེ་བྲིས་ཀློག་ལབ་ཡ་དེ་ད་འདི་བ་ལ་སྦྱངས། ཡིག་ཚད་འདྲ་བོ་བཏང་། འདི་ཁོ་རང་གིས་ད་ང་རང་བསམ་དེ་རིང་ད་གྲུབ་འབྲས་འདི་ག་ཙི་རག་རེད་བ་ད། ཨིན་། གྲུབ་འབྲས་ ,e 'dra'i 'dra bo red 'dug da/_drang po bshad na spyir btang da ga re lab dgos red nga tshos yi ge bris klog lab ya de da 'di ba la sbyangs/_yig tshad 'dra bo btang /_'di kho rang gis da nga rang bsam de ring da grub 'bras 'di ga tsi rag red ba da/_in /_grub 'bras _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0027_189582_to_199319.wav,STT_NS,3,219,9.737,wav16k/STT_NS0031_0027_189582_to_199319.wav,དེ་འདྲའི་འདྲ་བོ་རེད་འདུག་ད། དྲང་པོ་བཤད་ན་སྤྱིར་བཏང་ད་ག་རེ་ལབ་དགོས་རེད། ང་ཚོས་ད་ཡི་གེ་འབྲི་ཀློག་ལབ་ཡ་དེ་ད་འདི་བ་ལ་སྦྱང་བ་ཡིག་ཚད་འདྲ་བོ་བཏང་། འདི་ཁོ་རང་གིས་དང་རང་བསམ་དེ་རིང་ད་གྲུབ་འབྲས་འདི་ག་སེ་བྱས་བྱས་རག་རེད་ད། ཨུགྲུབ་འབྲས་
STT_NS0031_0028_199319_to_209055,དེ་འདྲའི་འདྲ་བོ་མཐོང་དུས་ད་སོ་སོའི་བསམ་བློའི་ནང་ལོགས་ལ་ད་ཡི་གེ་བྲིས་ཀློག་གཅིག་པོ་དེ་སྦྱངས་ནས་ད་ང་ཚོ་ལ་ད་མ་འོངས་པ་མི་ཚེའི་ནང་ལ་ངས་བྲིས་ཀློག་གཅིག་པོ་སྦྱངས་ནས་ང་ཁེ་ཕན་གེ་བཟོ་ཐུབ་ལབ་ཡ་དེ་ད་ཏོག་ཙི་ཅིག་ཡིད་ཆེས་བརླགས་ངེ་འདྲ་བོ་བྱས་སོང་ད་ང་རང་ཡིན་ན་ ,de 'dra'i 'dra bo mthong dus da so so'i bsam blo'i nang logs la da yi ge bris klog gcig po de sbyangs nas da nga tsho la da ma 'ongs pa mi tshe'i nang la ngas bris klog gcig po sbyangs nas nga khe phan ge bzo thub lab ya de da tog tsi cig yid ches brlags nge 'dra bo byas song da nga rang yin na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0028_199319_to_209055.wav,STT_NS,3,242,9.736,wav16k/STT_NS0031_0028_199319_to_209055.wav,དེ་འདྲའི་འདྲ་བོ་མཐོང་དུས་ད་སོ་སོའི་བསམ་བློའི་ནང་ལོགས་ལ་ ད་ཡི་གེ་འབྲི་ཀློག་གཅིག་པོ་དེ་སྦྱངས་ནས་ད་ང་ཚོ་ལ་ད་ཝང་གྷོ་མི་ཚེའི་ནང་ལ་ངས་འབྲི་ཀློག་གཅིག་པོ་སྦྱངས་ནས་ངས་ཁེ་ཕན་གེ་བཟོ་ཐུབ་ཡ་ལབ་ཡ་དེ་ད་ད་ཏོག་ཙི་ཅིག་ཡིད་ཆེས་བརླང་མྱི་འདྲ་བོ་བྱས་སོང་།ད་ང་རང་ཡིན་ན།
STT_NS0031_0018_120124_to_128595,ཤོ་ལོ་ཀ་དེའི་ནང་ལོགས་ལ་དོན་ཚན་ག་རེ་ཚང་དགོས་རེད་ལབ་དོན་ཚན་ཚང་མ་ཏག་ཏག་བྲིས་བསྡད་ཡོད་དྲན། ད་ང་རང་གིས་བྲིས་མྱི་སོ་སོ་རེད་བ། ད་བྲིས་བསྡད་ཡོད། དེ་ལ་ཡ་ད་བརྒྱ་ཆ་ག་རེ་ལབ་དགོས་རེད། བརྒྱ་ཆ་བཅུ་ནས་ཡིན་ན་ ,sho lo ka de'i nang logs la don tshan ga re tshang dgos red lab don tshan tshang ma tag tag bris bsdad yod dran/_da nga rang gis bris myi so so red ba/_da bris bsdad yod/_de la ya da brgya cha ga re lab dgos red/_brgya cha bcu nas yin na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0018_120124_to_128595.wav,STT_NS,3,192,8.471,wav16k/STT_NS0031_0018_120124_to_128595.wav,ཤོ་ལོ་ཀ་དེའི་ནང་ལོགས་ལ་དོན་ཚན་ག་རེ་ཚང་དགོས་རེད་ལབན། དོན་མཚན་ཚང་མ་ཏག་ཏག་བྲིས་བསྡད་ཡོད་དྲན་གིའདུག ད་ང་རང་གིས་བྲི་མྱི་སོ་སོ་རེད་བ།ད་བྲིས་བསྡད་ཡོད་། དེ་ལ་ད་བརྒྱ་ཆ་ག་རེ་ལབ་དགོས་རེད། བརྒྱ་ཆ་བཅུ་ནས་ཡིན་ན།
STT_NS0031_0064_519083_to_528908,ཨ་ལེ། རེད་ཨོ་ང་ད་ལྟ་ཁྱོད་རང་ཡིག་ཚད་སྔོན་མ་རྒྱུགས་ཤོག་རྙིང་པ་དེ་ཚོ་སྦྱོང་གི་ཡོད་ད་ལབ། ཨིང་ང་ཡང་རྒྱུགས་ཤོག་རྙིང་པ་དེ་ཚོ་ལྟ་གི་ཡོད་ཨ། དེ་ཚོ་ཡང་དཔེ་གལ་ཆེན་པོ་རེད་ཤག ད་ང་ཚོ་སྤྱིར་བཏང་ད་ང་ཚོ་ཚང་མ་སྦྱོང་དགོ་ཡ་ད་གལ་ཆེན་པོ་རེད་དེ། ཡིན་ནས་ང་ཚོ་ད་ ,a le/_red o nga da lta khyod rang yig tshad sngon ma rgyugs shog rnying pa de tsho sbyong gi yod da lab/_ing nga yang rgyugs shog rnying pa de tsho lta gi yod a/_de tsho yang dpe gal chen po red shag_da nga tsho spyir btang da nga tsho tshang ma sbyong dgo ya da gal chen po red de/_yin nas nga tsho da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0064_519083_to_528908.wav,STT_NS,3,237,9.825,wav16k/STT_NS0031_0064_519083_to_528908.wav,ག་རེ་ལབརེད་ཨོ ང་ད་ལྟ་ཁྱོད་རང་ཡིག་ཚད་སྔོན་མ་རྒྱུག་ཤོགས་རྙིང་པ་དེ་ཚོ་སྦྱང་གི་ཡོད་ད། ཨོ་ང་རྒྱུག་ཤོགས་རྙིང་པ་དེ་ཚོ་ལྟ་གི་ཡོད་བ། དེ་ཚོ་ཡང་དཔེ་གལ་ཆེན་པོ་རེད་ཤག ད་ང་ཚོ་སྤྱིར་བཏང་ད་ང་ཚོ་ཚང་མ་སྦྱང་དགོས་ཡ་ད་གལ་ཆེན་པོ་རེད་དེ། ཡིན་ནས་ང་ཚོ་ད།
STT_NS0031_0065_528908_to_538732,ང་ཚོའི་ཀླད་པ་ཚང་མ་ད་ཤོང་གི་མ་རེད་རེད་བ། དུས་ཚོད་ཐུང་ཐུང་ཅིག་གི་ནང་ལོགས་ལ་ད་ཚང་མ་སྦྱོང་དགོ་དུས་ཙམ་པ་ཡོང་ཡོང་གི་མ་རེད་བ། ཨེ་ནས་སྔོན་མ་གི་ཡིག་ཚད་བཏང་བཞག་རྒྱོ་གི་དྲི་ཤོག་དེ་ཚོ་དཔེ་ལྟ་ཡ་གལ་ཆེན་པོ་རེད་ཤག ཚང་མ་ ,nga tsho'i klad pa tshang ma da shong gi ma red red ba/_dus tshod thung thung cig gi nang logs la da tshang ma sbyong dgo dus tsam pa yong yong gi ma red ba/_e nas sngon ma gi yig tshad btang bzhag rgyo gi dri shog de tsho dpe lta ya gal chen po red shag_tshang ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0065_528908_to_538732.wav,STT_NS,3,204,9.824,wav16k/STT_NS0031_0065_528908_to_538732.wav,ང་ཚོ་ཀླད་པ་ཚང་མ་ད་ཤེས་ཀི་མ་རེད་ རེད། ། དུས་ཚོདདེ་ཐུང་ཐུང་ཅིག་ནང་ལོགས་ལ་ད་ཚང་མ་སྦྱང་དགོས་དུས་ཙམ་པ་ཡོང་གི་མ་རེད་བ། ཨེ་ནས་སྔོན་མ་གིས་ཡིག་ཚད་བཏང་བཞག་རྒྱོ་གི་བྲི་ཤོག་དེ་ཚོ་ཡང་དཔེ་བལྟ་ཡ་གལ་ཆེན་པོ་རེད་ཤག་ད་སོ་སོི ཚང་མ།
STT_NS0031_0066_538732_to_548557,སྦྱོང་བསྡད་ན་ད་ཡིག་ཚད་སྐབས་སུ་ད་ག་རེ་འདྲ་བོ་བསླེབ་ཡ་དྲི་བ་ལ་གཏོང་མ་ཤེས་ཧ་མ་གོ་ན། སོ་སོ་གི་བསམ་ཚུལ་འདྲ་བོ་ད་དངོས་གནད་སླེབས་སྟངས་ཀི་སྒྲོམ་གཞི་འདྲ་བོ་ཧ་མ་གོ་ན་གང་ཚང་སྦྱོང་ན་ནི་ང་ཚོས་སྦྱོང་ཐུབ་ཀི་མ་རེད་བ། བྱས་ཙང་།  ,sbyong bsdad na da yig tshad skabs su da ga re 'dra bo bsleb ya dri ba la gtong ma shes ha ma go na/_so so gi bsam tshul 'dra bo da dngos gnad slebs stangs ki sgrom gzhi 'dra bo ha ma go na gang tshang sbyong na ni nga tshos sbyong thub ki ma red ba/_byas tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0066_538732_to_548557.wav,STT_NS,3,211,9.825,wav16k/STT_NS0031_0066_538732_to_548557.wav,སྦྱང་བསྡད་ན་ད་ཡིག་ཚད་སྐབས་སུ་ད་ག་རེ་འདྲ་བོ་སླེབ བྲེ་བ་སློད་སྟངས་མ་ཤེས་འདྲ་བོ་ཧ་མ་གོ་ན་སོ་སོ་བསམ་ཚུལ་འདྲ་བོ་ད་དོ་རསློས་སྟངས་ཀི་ཨ་འདྲ་སེ་སྒྲོམ་གཞི་འདྲ་བོ་ཧ་མ་གོ་ན་ གང་ཚང་སྦྱང་བསྡད་ན་ང་ཚོ་སྦྱང་ཐུབ་ཀི་མ་རེད་བ། བྱས་ཙང་།
STT_NS0031_0067_548557_to_558381,དྲི་བ་ཡིག་ཚད་ལ་ད་མང་ཆེ་ཤོས་སོ་སོ་གི་ཨུན་སློབ་ཚན་ནང་གི་ད་དྲི་བ་གནད་འགག་གནད་འགག་གལ་ཆེ་ཤོས་ཆེ་ཤོས་དེ་ཚོ་ཡིག་ཚད་གཏོང་གི་རེད་བ། ཨིན་། ཨོ་དེ་སོ་སོ་ཡང་། དྲི་བ་དཔག་པའི་ཡང་སློབ་ཚན་དེ་ཚོ་ ,dri ba yig tshad la da mang che shos so so gi un slob tshan nang gi da dri ba gnad 'gag gnad 'gag gal che shos che shos de tsho yig tshad gtong gi red ba/_in /_o de so so yang /_dri ba dpag pa'i yang slob tshan de tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0067_548557_to_558381.wav,STT_NS,3,178,9.824,wav16k/STT_NS0031_0067_548557_to_558381.wav,ང་ཚོ་གི་དྲི་བ་ཡིག་ཚད་ལབ་ས་མང་ཆེ་ཤོས་སོ་སོ་གིས་སློབ་ཚན་ནང་ལོགས་ད་དྲི་བ་གནད་འགག་གནང་་གལ་ཆེ་ཤོས་ཆེ་ཤོས་ཚོ་ཡིག་ཚད་གཏང་གི་རེད་བ། ཨུནན། ཨོ་དེ་དེ་ཚོ་སོ་སོ་ཡང་དྲི་བ་ལ་དཔག་པའི་ཡང་སློབ་ཚན་དེ་ཚོ།
STT_NS0031_0068_558381_to_568206,ཡང་སོ་སོ་མགོ་ནས་ཡང་ཤེས་ཡ་འདྲ་བོ་ཡོང་གི་འདུག་བ་ང་ཚོ། ད་དྲི་ནམ་རྒྱུན་ཤེས་ཀི་ཡོད་མ་རེད། ད་དྲི་བ་དེ་ཀློག་དུས་ཙམ་པ་ཡང་ཨ་ལེ་དེ་ག་རེ་ཡིན་ན་བསམ། ཡང་ང་ཚོ་མགོ་ནས་སྦྱང་ཡ་དང་དེ་འདྲ་ཡོང་གི་འདུག་བ། རེད་རེད་། དངོས་གནས་རེད་ཤག ཨོ་དེ་དྲི་ཤོག་ལྟ་ཡ་དཔེ་ཡག་པོ་འདུག ,yang so so mgo nas yang shes ya 'dra bo yong gi 'dug ba nga tsho/_da dri nam rgyun shes ki yod ma red/_da dri ba de klog dus tsam pa yang a le de ga re yin na bsam/_yang nga tsho mgo nas sbyang ya dang de 'dra yong gi 'dug ba/_red red /_dngos gnas red shag_o de dri shog lta ya dpe yag po 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0068_558381_to_568206.wav,STT_NS,3,244,9.825,wav16k/STT_NS0031_0068_558381_to_568206.wav,ཡང་སོ་སོ་མགོ་ནས་ཡང་ཤི་ཡ་འདྲ་བོ་ཡོང་གི་འདུག་བ་ང་ཚོ། ཨུན། ད་ྲང་ཚོས་ནམ་རྒྱུན་ཤེས་ཀི་ཡོད་མ་རེད་ད།་དྲི་བ་དེ་ཀློག་དུས་ཙམ་པ་ཡང་ཨ་ལེ་དེ་ག་རེ་ཡིན་ན་བསམ་སོང་།ཡང་ང་ཚོ་མགོ་ནས་ཡང་སྦྱང་ཡ་དང་ཨེ་འདྲའི་ཡོང་གི་འདུག་བ། ེ། ཨོ་དེ་དྲི་ཤོག་ལྟ་ཡ་དཔེ་ཡག་པོ་འདུག
STT_NS0031_0069_568712_to_578680,རེད་རེད་རེད། ད་ཕྱོགས་གཅིག་ནས་བསམ་བློ་བཏང་ན་ད་ལྟ་ག་རེ་ལབ་དགོ་རེད། སོ་སོ་གིས་རྒྱུགས་འཕྲོད་བསྡད་པ་ཙམ་གིས་ཞེ་བོ་རེད་འདུག་རེད་བ། ཨུང་རེད་རེད། ད་དངོས་གནས་སོ་སོའི་སྐོར་ལ་ཤེས་བྱ་རིག་གནས་ལབ་ཡ་དེ་ག་ཚོད་ཡོད་བ་ལབ་ཡ་དེ་སོ་སོའི་བསམ་པའི་ནང་ལ་ཧ་གོ་གི་རེད་བ།  ,red red red/_da phyogs gcig nas bsam blo btang na da lta ga re lab dgo red/_so so gis rgyugs 'phrod bsdad pa tsam gis zhe bo red 'dug red ba/_ung red red/_da dngos gnas so so'i skor la shes bya rig gnas lab ya de ga tshod yod ba lab ya de so so'i bsam pa'i nang la ha go gi red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0031_0069_568712_to_578680.wav,STT_NS,3,243,9.968,wav16k/STT_NS0031_0069_568712_to_578680.wav,རེད་རེད་རེད། ད་ཕྱོགས་གཅིག་ནས་བསམ་བློ་བཏང་་ད་ལྟ་ད་ག་རེ་ལབ་དགོས་རེད། སོ་སོ་དེ་རྒྱུགས་འཕྲོད་བསྡད་བ་ཙམ་གྱིས་ཞེ་བོ་རེད་འདུག་རེད་བ། ཨུནརེད་རེད། དངོས་གནས་སོ་སོས་ག་རེ་ལབ་དགོས་རེད། ཤེས་བྱ་རིག་གནས་ལབ་ཡ་དེ་ག་ཚོད་ཡོད་བ་ལབ་ཡ་དེ་སོ་སོའི་བསམ་བློའི་ནང་ལ་ཧ་གོ་གི་རེད་བ་ད།
